('CL20UBZ-15', 'SI20E--7-30'):463
('CL20UBZ-10', 'SI20E--7-30'):463
('SI--3331-30', 'SI20LCA6M40'):346
('SI--3331-30', 'SI20SAM8-10'):402
('SI--3331-30', 'SI20CFE8-13'):419
('SI--3331-30', 'SI20MB-6-22'):409
('SI--3331-30', 'SI20MAV8-10'):397
('SI--3331-30', 'SI20---3M70'):340
('SI--3331-30', 'SI20HAD8E10'):404
('SI--3331-30', 'SI20LBA8J10'):416
('SI--3331-30', 'SI20XKA8-10'):416
('SI--3331-30', 'SI20PGB3M70'):340
('SI--3332-76', 'SI--CYA8-10'):215
('SI--3332-76', 'SI20SGM8-45'):199
('SI20---2M27', 'SI20MAG8-10'):536
('SI20---2M27', 'SI20MAW8-10'):405
('SP--SGJ2-10', 'SI20MAG8-10'):591
('SP--SGJ2-10', 'SI20MAW8-10'):556
('SI--3331-33', 'SI20MAG8-10'):422
('SI--3331-33', 'SI20MAW8-10'):387
('SI20UQZ5-159', 'SI20MAG8-10'):208
('SI20UQZ5-159', 'SI20MAW8-10'):208
('SI-----2E86', 'SI20MAG8-10'):542
('SI-----2E86', 'SI20MAW8-10'):542
('SI--3332-17', 'SI20ACA8-26'):490
('SI--3332-17', 'SI20UVM6B15'):352
('SI--3332-17', 'SI20BBA8-41'):302
('SI--3332-01', 'SI20---3M82'):564
('SI--3332-01', 'SI20PGB4M41'):462
('SI--3332-01', 'SI20GM-8E10'):410
('SI--3332-01', 'SI20MKA6E40'):386
('SI--3332-01', 'SI20UMC5E48'):413
('SI--3332-01', 'SI20BFA8-10'):256
('SI--3332-01', 'SI20UBA8-60'):433
('SI--B--2A56', 'SI20---9-90'):189
('SI--B--2A56', 'SI20B--8-50'):61
('SI--CYA2-95', 'SI20E--7-35'):648
('SI--GM-2B85', 'SI20HSK-8B28'):35
('SI--GM-2B85', 'SI20MKA8-10'):43
('SI--3332-65', 'SI20HSK-8B28'):437
('SI--3332-65', 'SI20MKA8-10'):297
('SI20LDK2B90', 'SI20HSK-8B28'):240
('SI20LDK2B90', 'SI20MKA8-10'):43
('SI--5552-62', 'SI20HSK-8B28'):35
('SI--5552-62', 'SI20MKA8-10'):43
('SI--HA-2-98', 'SI20BBA8-41'):373
('SI--HA-2-98', 'SI20E--7-25'):373
('SI--HA-2-98', 'SI20BFT8-10'):346
('SP20MBL2-98', 'SI20BBA8-41'):330
('SP20MBL2-98', 'SI20E--7-25'):330
('SP20MBL2-98', 'SI20BFT8-10'):303
('SI20PCC2A96', 'SI20BBA8-41'):330
('SI20PCC2A96', 'SI20E--7-25'):330
('SI20PCC2A96', 'SI20BFT8-10'):303
('SI--PDB2B86', 'SI20BBA8-41'):342
('SI--PDB2B86', 'SI20E--7-25'):342
('SI--PDB2B86', 'SI20BFT8-10'):315
('SI-----1-04', 'SI20BFT8-79'):102
('SI--GM-2B87', 'SI20MAL8-10'):11
('SI--H--2-10', 'SI20MAL8-10'):31
('SI--HA-2A86', 'SI20MB-9-15'):538
('SI20HB-3B74', 'SI20MAL8-10'):196
('SI--G--2-20', 'SI20MAL8-10'):342
('SI-P221-185', 'SI20MAL8-10'):134
('SI20UMC2B-20', 'SI20MAL8-10'):193
('SI--BZK2-19', 'SI20MAL8-10'):127
('SI20TPI18A2-16', 'SI20MAL8-10'):58
('SI--CYA2-87', 'SI20MAL8-10'):635
('SI20UBA2G03', 'SI20MAL8-10'):172
('SI20UBA5-10', 'SI20MAL8-10'):92
('SI20PGB2B87', 'SI20MAL8-10'):151
('SI20TPI6A2-10', 'SI20MAL8-10'):6
('SI20BFA8-36', 'SI20MAL8-10'):13
('SI-P221-350', 'SI20MAL8-10'):224
('SI20TPF1B8-26', 'SI20MAL8-10'):6
('SI-----2M44', 'SI20MAL8-10'):510
('SI20TPC1A3-15', 'SI20MAL8-10'):52
('SI20---3G79', 'SI20MAL8-10'):219
('SP--C--2-15', 'SI20MAL8-10'):22
('SI20BR2-15', 'SI20MAL8-10'):375
('SI-P221-230', 'SI20MAL8-10'):156
('SI--C--2D56', 'SI20MAL8-10'):61
('SI-P221-555', 'SI20MAL8-10'):228
('SI20TPF2A3-15', 'SI20MAL8-10'):19
('SP--C--2-40', 'SI20MAL8-10'):22
('SP20MA-3-81', 'SI20MAL8-10'):255
('SI--C--2B83', 'SI20MAL8-10'):6
('SI----P3I32', 'SI20MAL8-10'):386
('SI--3331-30', 'SI20MAL8-10'):133
('SI-----5-21', 'SI20MAL8-10'):98
('SI20TPM25A2-10', 'SI20MAL8-10'):52
('SI20LDK2B05', 'SI20MAL8-10'):90
('SI---1P2-10', 'SI20MAL8-10'):324
('SI20QU-2-85', 'SI20MAL8-10'):225
('SI-P221-573', 'SI20MAL8-10'):295
('SI20UMC5B85', 'SI20MAL8-10'):240
('SI20PGB2D05', 'SI20MAL8-10'):219
('SI20ACA2-20', 'SI20HSK-8B28'):279
('SI--3331-30', 'SI20BBA8-46'):286
('SI--3331-30', 'SI20UGU5-81'):423
('SI--3331-30', 'SI20UBA5-82'):359
('SI--3331-30', 'SI20SGM8-45'):259
('SP20MKW2-86', 'SI20EGD8-26'):152
('CLP20ULZ5-79', 'SI20EGD8-26'):86
('SI--UMC2B60', 'SI20EGD8-26'):528
('SI-----1-05', 'SI20EGD8-26'):68
('SI--SMM2-90', 'SI20EGD8-26'):152
('SI--3332-27', 'SI20EGD8-26'):233
